Date,UTC,Longitude,Latitude,Altitude,SOG,CMG,Sigma Latitude,Sigma Longitude,Sigma Altitude
070921,120112.00,-7.43491074,55.16669862,163.545,0.017,,0.010,0.010,0.010
070921,120113.00,-7.43491076,55.16669861,163.546,0.004,,0.010,0.010,0.010
070921,120114.00,-7.43491076,55.16669862,163.548,0.004,,0.010,0.010,0.010
070921,120115.00,-7.43491078,55.16669859,163.549,0.005,,0.010,0.010,0.010
070921,120116.00,-7.43491075,55.1666986,163.55,0.003,,0.010,0.010,0.010
070921,120117.00,-7.43491076,55.16669861,163.545,0.009,,0.010,0.010,0.010
070921,120118.00,-7.43491075,55.1666986,163.547,0.022,,0.010,0.010,0.010
070921,120119.00,-7.43491074,55.16669862,163.552,0.011,,0.010,0.010,0.010
070921,120120.00,-7.43491077,55.16669857,163.545,0.014,,0.010,0.010,0.010
070921,120121.00,-7.43491076,55.16669857,163.549,0.005,,0.010,0.010,0.010
070921,120122.00,-7.43491075,55.16669861,163.551,0.008,,0.010,0.010,0.010
070921,120123.00,-7.43491079,55.16669859,163.552,0.002,,0.010,0.010,0.010
070921,120124.00,-7.43491077,55.16669858,163.547,0.011,,0.010,0.010,0.010
070921,120125.00,-7.43491079,55.16669858,163.548,0.003,,0.010,0.010,0.010
070921,120126.00,-7.4349108,55.16669856,163.55,0.004,,0.010,0.010,0.010
070921,120127.00,-7.4349108,55.16669856,163.557,0.005,,0.010,0.010,0.010
070921,120128.00,-7.43491078,55.16669856,163.552,0.012,,0.010,0.010,0.010
070921,120129.00,-7.43491079,55.16669855,163.552,0.005,,0.010,0.010,0.010
070921,120130.00,-7.43491078,55.16669855,163.549,0.002,,0.010,0.010,0.010
070921,120131.00,-7.43491082,55.16669854,163.545,0.004,,0.010,0.010,0.010
070921,120132.00,-7.4349108,55.16669857,163.548,0.003,,0.010,0.010,0.010
070921,120133.00,-7.43491082,55.16669856,163.549,0.003,,0.010,0.010,0.010
070921,120134.00,-7.43491081,55.16669855,163.546,0.012,,0.010,0.010,0.010
070921,120135.00,-7.43491082,55.16669853,163.548,0.006,,0.010,0.010,0.010
070921,120136.00,-7.43491083,55.16669853,163.548,0.002,,0.010,0.010,0.010
070921,120137.00,-7.43491081,55.16669856,163.554,0.009,,0.010,0.010,0.010
070921,120138.00,-7.43491082,55.16669856,163.552,0.002,,0.010,0.010,0.010
070921,120139.00,-7.43491083,55.16669855,163.551,0.010,,0.010,0.010,0.010
070921,120140.00,-7.43491084,55.16669856,163.549,0.003,,0.010,0.010,0.010
070921,120141.00,-7.43491085,55.16669853,163.55,0.016,,0.010,0.010,0.010
070921,120142.00,-7.43491083,55.16669854,163.553,0.007,,0.010,0.010,0.010
